Smart Meter;Battery;Grid Oriented;Month;Building 1 Self Use (kWh);Building 1 Feed-in (kWh);Building 1 From Grid (kWh);Building 2 Self Use (kWh);Building 2 Feed-in (kWh);Building 2 From Grid (kWh);System Self Use (kWh);System Feed-in (kWh);System From Grid (kWh)
False;[0. 0.];False;1;280,54013398153273;142,44971026141772;2635,8643148230262;216,6312716482953;108,76150661664819;1050,3453656148324;510,53827017495314;237,84435233294082;3668,8938493374117
False;[0. 0.];False;2;537,2543073043126;752,9135802685411;2090,1371317842027;338,6965669392038;601,660587019799;798,9442138192572;903,5469148891922;1326,9781266426642;2857,924180942107
False;[0. 0.];False;3;647,9968661432771;926,6163820741103;1994,9727760751068;386,5871792246578;1017,0054882630484;658,007061709979;1074,6254554205182;1903,5804602845753;2609,4344226154553
False;[0. 0.];False;4;704,205839761354;1012,5480478065305;1753,9702066070959;410,24163532114113;1307,7034721617788;517,7263971162014;1166,0960093330093;2268,602985717795;2216,8170469419724
False;[0. 0.];False;5;743,3455156993236;1537,5789893461988;1487,3586381758412;375,2509716338921;2092,0260984530382;333,478646865446;1202,7069981125053;3545,494577019947;1733,8786324600303
False;[0. 0.];False;6;777,4649634990973;1962,640785595487;1218,5596636074144;351,4381924547792;2844,863557892904;202,32090692588517;1278,4397972914787;4657,967702150789;1268,825804185765
False;[0. 0.];False;7;713,0808841165626;1688,0719054751446;1331,5828173082214;321,90938423955885;2300,733007896;234,36760972081723;1134,4444528468712;3889,3507288803953;1463,9232384348616
False;[0. 0.];False;8;637,9292267804424;1349,1302011090397;1434,5203883590787;291,7141338772858;1707,9144336848383;287,4498326822191;989,602108832747;2997,085886618859;1659,397377260839
False;[0. 0.];False;9;616,4202115653526;1798,9453367339245;1415,39025615298;274,9103595983763;1815,0585932144925;308,81344105342833;939,5196338479495;3565,814867264196;1673,4546238290895
False;[0. 0.];False;10;502,64798453424993;864,1376068712597;1809,3680956230628;262,0312453962741;874,6452763804817;513,8182820049595;795,860470417607;1707,6016427646582;2289,0480635644094
False;[0. 0.];False;11;312,5720241976052;233,51136649248892;2286,129198650122;216,17225571680547;221,10615093196486;825,5909603227524;547,5725294515393;435,78926788732514;3089,424640838408
False;[0. 0.];False;12;289,98879613918444;277,64595231792174;2525,3169475892587;198,83243401984376;153,15755087385946;986,486401351101;495,81321016397413;423,8115231868353;3501,049420292777
False;(0, 50);False;1;280,54013398153273;142,44971026141772;2635,8643148230262;287,1321051254782;33,565869500961874;979,8445321376497;593,4161952326572;149,48685953313324;3586,0159242797076
False;(0, 50);False;2;537,2543073043126;752,9135802685411;2090,1371317842027;504,8225383974368;424,5320230242415;632,8182423610243;1071,3399241979089;1148,198825469382;2690,13117163339
False;(0, 50);False;3;647,9968661432771;926,6163820741103;1994,9727760751068;596,6064363267545;793,1117743060036;447,9878046078823;1288,361807894026;1675,884652949136;2395,6980701419475
False;(0, 50);False;4;704,205839761354;1012,5480478065305;1753,9702066070959;619,7541814142884;1082,6941187469963;308,21385102305425;1375,6715080192516;2045,2834761117856;2007,24154825573
False;(0, 50);False;5;743,3455156993236;1537,5789893461988;1487,3586381758412;585,8440196353625;1865,044476910033;122,88559886397552;1415,8583869875881;3318,3848954923137;1520,7272435849475
False;(0, 50);False;6;777,4649634990973;1962,640785595487;1218,5596636074144;506,53046783930677;2679,973381005651;47,22863154135757;1486,3194773518471;4436,413553304549;1060,9461241253964
False;(0, 50);False;7;713,0808841165626;1688,0719054751446;1331,5828173082214;499,5850709989029;2112,019990189018;56,69192296147316;1352,7809444099553;3656,6946217468976;1245,5867468717774
False;(0, 50);False;8;637,9292267804424;1349,1302011090397;1434,5203883590787;498,7646693941934;1489,4333092672816;80,3992971653115;1213,3584395375951;2758,666602007364;1435,6410465559911
False;(0, 50);False;9;616,4202115653526;1798,9453367339245;1415,39025615298;485,31519988112376;1589,9532910812097;98,40860077068093;1146,0510528214943;3345,770511776429;1466,923204855545
False;(0, 50);False;10;502,64798453424993;864,1376068712597;1809,3680956230628;462,81942838051395;662,6261512758134;313,03009902071955;998,5148633879144;1491,6826683617749;2086,3936705941023
False;(0, 50);False;11;312,5720241976052;233,51136649248892;2286,129198650122;316,5341835062429;114,08507399979584;725,2290325333148;659,3469818902574;316,6476399639875;2977,65018839969
False;(0, 50);False;12;289,98879613918444;277,64595231792174;2525,3169475892587;281,68821013856075;64,78786379737116;903,630625232384;589,96197272908;323,47807114695075;3406,900657727672
True;[0. 0.];False;1;280,54013398153273;142,44971026141772;2635,8643148230262;232,14090810274556;93,25187016219793;1034,8357291603822;521,7787268477958;226,60389566009806;3657,6533926645693
True;[0. 0.];False;2;537,3592148930938;752,80867267976;2090,0322241954213;368,0525866549467;572,304567304056;769,5881941035144;924,0659851463705;1306,459056385486;2837,405110684929
True;[0. 0.];False;3;661,0371519772559;913,5760962401314;1981,932490241128;422,7219483242158;980,8707191634903;621,872292610421;1132,8547328314844;1845,351182873609;2551,2051452044893
True;[0. 0.];False;4;741,1185282032405;975,6353593646439;1717,0575181652093;445,95561655818295;1271,989490924737;482,01241587915956;1271,3672720311276;2163,3317230196767;2111,545784243854
True;[0. 0.];False;5;807,4165525318932;1473,507952513629;1423,2876013432715;409,3016203805098;2057,9754497064205;299,4279981188283;1351,6310333078088;3396,570541824644;1584,9545972647265
True;[0. 0.];False;6;871,9038946783772;1868,2018544162072;1124,1207324281347;381,04831811727286;2815,2534322304095;172,71078126339145;1497,519501540464;4438,887997901803;1049,7460999367795
True;[0. 0.];False;7;785,460397207528;1615,692392384179;1259,203304217256;354,0383386623724;2268,6040534731865;202,23865529800364;1298,632363151456;3725,1628185758104;1299,7353281302767
True;[0. 0.];False;8;682,1636281725197;1304,8957997169625;1390,2859869670012;330,8327940097654;1668,7957735523587;248,33117254973948;1113,8084959328469;2872,8794995187595;1535,1909901607394
True;[0. 0.];False;9;671,869410178192;1743,4961381210849;1359,9410575401407;310,16422727090975;1779,804725541959;273,5595733808949;1073,8835235861598;3431,450977525986;1539,090734090879
True;[0. 0.];False;10;526,4805036056365;840,3050877998731;1785,5355765516763;303,0863470551151;833,5901747216407;472,7631803461184;879,4764000378013;1623,985713144464;2205,4321339442154
True;[0. 0.];False;11;312,5720241976052;233,51136649248892;2286,129198650122;240,9010403837359;196,3773662650344;800,8621756558218;566,1881135415434;417,17368379732096;3070,8090567484037
True;[0. 0.];False;12;289,98879613918444;277,64595231792174;2525,3169475892587;217,74902321782403;134,24096167587922;967,5698121531208;512,5813233495501;407,04341000125936;3484,2813071072014
True;[0. 0.];True;1;280,54013398153273;142,44971026141772;2635,8643148230262;221,68167178143008;103,71110648351338;1045,2949654816978;513,7847115368846;234,5979109710092;3665,6474079754803
True;[0. 0.];True;2;537,3592148930938;752,80867267976;2090,0322241954213;344,2685990269957;596,088554932007;793,3721817314654;901,2681057795959;1329,2569357522605;2860,2029900517027
True;[0. 0.];True;3;654,1863618507184;920,4268863666689;1988,7832803676656;392,6691777084191;1010,923489779287;651,9250632262176;1080,220379677725;1897,9855360273684;2603,839498358248
True;[0. 0.];True;4;727,0113757580076;989,7425118098768;1731,164670610442;416,9512336127166;1300,9938738702033;511,01679882462594;1195,336492013664;2239,36250303714;2187,576564261318
True;[0. 0.];True;5;788,4542022517735;1492,4703027937487;1442,249951623391;381,51323005631804;2085,7638400306123;327,2163884430201;1261,9343499527429;3486,26722517971;1674,6512806197925
True;[0. 0.];True;6;844,0266269083021;1896,0791221862826;1151,9980001982096;360,0769715455401;2836,2247788021427;193,68212783512422;1402,9273389552864;4533,480160486981;1144,3382625219572
True;[0. 0.];True;7;762,0365459935978;1639,1162435981093;1282,627155431186;327,60647889387553;2295,0359132416834;228,67051506650049;1200,15496508828;3823,6402166389857;1398,212726193453
True;[0. 0.];True;8;666,9839422172696;1320,0754856722126;1405,4656729222513;301,1695577437749;1698,4590098183492;277,99440881572997;1033,0252557392716;2953,6627397123343;1615,9742303543144
True;[0. 0.];True;9;649,0630114704521;1766,3025368288247;1382,7474562478803;278,5511057362601;1811,4178470766085;305,1726949155445;972,0741087318303;3533,260392380315;1640,9001489452087
True;[0. 0.];True;10;514,3379226994718;852,4476687060377;1797,6781574578408;271,99064225416464;864,6858795225911;503,85888514706886;812,9446005950766;1690,5175125871885;2271,96393338694
True;[0. 0.];True;11;312,5720241976052;233,51136649248892;2286,129198650122;224,48136547067335;212,79704117809695;817,2818505688844;553,4200266490406;429,94177068982384;3083,577143640907
True;[0. 0.];True;12;289,98879613918444;277,64595231792174;2525,3169475892587;205,22715613915815;146,7628287545451;980,0916792317867;501,0630136134767;418,5617197373327;3495,7996168432746
True;(0, 50);False;1;280,54013398153273;142,44971026141772;2635,8643148230262;295,5866049621346;25,582056451575408;971,3900323009933;603,5214946560965;139,47096160065283;3575,910624856268
True;(0, 50);False;2;537,3592148930938;752,80867267976;2090,0322241954213;512,0473958201012;418,7780258861601;625,5933849383599;1078,282484757591;1142,0982920218528;2683,188611073708
True;(0, 50);False;3;661,0371519772559;913,5760962401314;1981,932490241128;609,9852638930018;781,2230365131313;434,60897704163494;1332,1861630003505;1632,925895693006;2351,8737150356233
True;(0, 50);False;4;741,1185282032405;975,6353593646439;1717,0575181652093;632,9003687015494;1070,9886530903357;295,0676637357932;1472,716472001017;1948,7282058926119;1910,1965842739646
True;(0, 50);False;5;807,4165525318932;1473,507952513629;1423,2876013432715;594,8803820595546;1857,5962490736313;113,84923643978347;1556,6695346183126;3178,004957565716;1379,9160959542226
True;(0, 50);False;6;871,9038946783772;1868,2018544162072;1124,1207324281347;512,2222932445053;2675,762061883577;41,536806136159065;1685,3921747814638;4238,640733134193;861,8734266957796
True;(0, 50);False;7;785,460397207528;1615,692392384179;1259,203304217256;506,0762553493308;2107,1365627838354;50,20073861104524;1513,8868006325022;3495,772321100674;1084,4808906492306
True;(0, 50);False;8;682,1636281725197;1304,8957997169625;1390,2859869670012;510,9904944553598;1477,5925113892356;68,17347210414508;1331,9972865182685;2640,3357870095106;1317,0021995753177
True;(0, 50);False;9;671,869410178192;1743,4961381210849;1359,9410575401407;494,67039793942473;1583,5942443575957;89,05340271237992;1268,536479672755;3224,0571058150726;1344,4377780042842
True;(0, 50);False;10;526,4805036056365;840,3050877998731;1785,5355765516763;482,80242016817164;644,0151464690734;293,0471072330619;1069,591042823463;1421,42146977798;2015,3174911585536
True;(0, 50);False;11;312,5720241976052;233,51136649248892;2286,129198650122;333,4177622722621;97,72010732613357;708,3454537672957;674,9692010542212;301,21853913694724;2962,027969235726
True;(0, 50);False;12;289,98879613918444;277,64595231792174;2525,3169475892587;293,34074027947224;53,61470817095187;891,9780950914725;605,2589705750372;308,2418064943192;3391,603659881714
True;(0, 50);True;1;280,54013398153273;142,44971026141772;2635,8643148230262;290,09581861899596;30,74261472712553;976,8808186441319;596,3931800292061;146,52942160876378;3583,0389394831586
True;(0, 50);True;2;537,3592148930938;752,80867267976;2090,0322241954213;490,9933878165065;439,6438523629873;646,6473929419545;1055,7642048866671;1164,605780980101;2705,7068909446316
True;(0, 50);True;3;654,1863618507184;920,4268863666689;1988,7832803676656;579,7138908968119;811,4965247636146;464,8803500378248;1279,2977069019012;1685,8195943721394;2404,762171134072
True;(0, 50);True;4;727,0113757580076;989,7425118098768;1731,164670610442;603,9818755282214;1100,3803424192045;323,9861569091211;1392,2282269477503;2029,5236949133975;1990,6848293272315
True;(0, 50);True;5;788,4542022517735;1492,4703027937487;1442,249951623391;572,8548837160081;1879,1359333029507;135,87473478333004;1461,235810394871;3273,807775727289;1475,3498201776647
True;(0, 50);True;6;844,0266269083021;1896,0791221862826;1151,9980001982096;507,3009368455409;2679,674762934213;46,45816253512343;1586,5815808903862;4337,740600338007;960,6840205868572
True;(0, 50);True;7;762,0365459935978;1639,1162435981093;1282,627155431186;498,88288133507496;2113,1661415507665;57,394112625301034;1409,2261665353126;3600,8106244529267;1189,1415247464201
True;(0, 50);True;8;666,9839422172696;1320,0754856722126;1405,4656729222513;495,08782287416307;1492,587007578086;84,07614368534182;1241,484422580181;2731,4719572883987;1407,515063513405
True;(0, 50);True;9;649,0630114704521;1766,3025368288247;1382,7474562478803;468,47922427237376;1609,4408333965669;115,24457637943095;1164,8321051614776;3327,8861464430024;1448,1421525155613
True;(0, 50);True;10;514,3379226994718;852,4476687060377;1797,6781574578408;453,5584119134928;672,5867388810573;322,2911154877407;1003,529648149362;1487,4697413346873;2081,3788858326548
True;(0, 50);True;11;312,5720241976052;233,51136649248892;2286,129198650122;322,3064858076698;108,48095919265212;719,456730231888;664,2615117655399;311,7945389119473;2972,7356585244074
True;(0, 50);True;12;289,98879613918444;277,64595231792174;2525,3169475892587;285,699013302443;60,93667155182222;899,6198220685018;594,7124162080701;318,7436389671963;3402,150214248681
